MILK,BREAD,BISCUIT
BREAD,MILK,BISCUIT,CORNFLAKES
BREAD,MILK,CORNFLAKES
BREAD,MILK,TEA
BREAD,MILK,CORNFLAKES
BREAD,TEA,BOURNVITA
BREAD,COFFEE,COCK
JAM,MAGGI,BREAD,MILK
MAGGI,TEA,BISCUIT
BREAD,TEA,BOURNVITA
MAGGI,TEA,CORNFLAKES
MAGGI,BREAD,TEA,BISCUIT
JAM,MAGGI,BREAD,TEA
BREAD,COFFEE,COCK
BREAD,MILK
BREAD,MILK
COFFEE,COCK,BISCUIT,CORNFLAKES
COFFEE,COCK,BISCUIT,CORNFLAKES
COFFEE,SUGER,BOURNVITA
BREAD,COFFEE,COCK
BREAD,SUGER,BISCUIT
COFFEE,SUGER,CORNFLAKES
BREAD,SUGER,BOURNVITA
BREAD,COFFEE,SUGER
BREAD,COFFEE,SUGER
TEA,MILK,COFFEE,CORNFLAKES
BREAD,MILK
BREAD,COFFEE,COCK
